dap,tt,trt1,trt2,trt3,trt4
39,480.96,0.088604602,0.066153933,0.22157881,0.119732314
53,723.53,0.452086647,0.427203128,0.463234565,0.395821134
68,991.77,0.621851022,0.707417253,0.629333775,0.670943323
83,1280.08,0.709792835,0.691339909,0.660535701,0.644337517
91,1441.82,0.733043651,0.769046479,0.691912656,0.603778039
102,1674.62,0.720445804,0.747678901,0.750578777,0.660739147
